idx;name;geometryType;count;url
38;(sans nom);;;https://services3.arcgis.com/EmyeHZHvQA4wWHJo/arcgis/rest/services/Main_d_œuvre__14_64_ans____WFL1/FeatureServer/2
39;(sans nom);;;https://services3.arcgis.com/EmyeHZHvQA4wWHJo/arcgis/rest/services/Population_hors_main_d_œuvre__14_64_ans__1_WFL1/FeatureServer/0
40;(sans nom);;;https://services3.arcgis.com/EmyeHZHvQA4wWHJo/arcgis/rest/services/Population_hors_main_d_œuvre__14_64_ans__1_WFL1/FeatureServer/1
41;(sans nom);;;https://services3.arcgis.com/EmyeHZHvQA4wWHJo/arcgis/rest/services/Population_hors_main_d_œuvre__14_64_ans__1_WFL1/FeatureServer/2
42;(sans nom);;;https://services3.arcgis.com/EmyeHZHvQA4wWHJo/arcgis/rest/services/Nombre_de_Ménage_WFL1/FeatureServer/8
43;(sans nom);;;https://services3.arcgis.com/EmyeHZHvQA4wWHJo/arcgis/rest/services/Nombre_de_Ménage_WFL1/FeatureServer/2
44;(sans nom);;;https://services3.arcgis.com/EmyeHZHvQA4wWHJo/arcgis/rest/services/Nombre_de_Ménage_WFL1/FeatureServer/10
45;(sans nom);;;https://services3.arcgis.com/EmyeHZHvQA4wWHJo/arcgis/rest/services/Nombre_de_Ménage_WFL1/FeatureServer/7
46;(sans nom);;;https://services3.arcgis.com/EmyeHZHvQA4wWHJo/arcgis/rest/services/Nombre_de_Ménage_WFL1/FeatureServer/5
47;(sans nom);;;https://services3.arcgis.com/EmyeHZHvQA4wWHJo/arcgis/rest/services/Nombre_de_Ménage_WFL1/FeatureServer/6
48;(sans nom);;;https://services3.arcgis.com/EmyeHZHvQA4wWHJo/arcgis/rest/services/Taille_moyenne_des_ménages_3_WFL1/FeatureServer/8
49;(sans nom);;;https://services3.arcgis.com/EmyeHZHvQA4wWHJo/arcgis/rest/services/Taille_moyenne_des_ménages_3_WFL1/FeatureServer/12
50;(sans nom);;;https://services3.arcgis.com/EmyeHZHvQA4wWHJo/arcgis/rest/services/Taille_moyenne_des_ménages_3_WFL1/FeatureServer/10
51;(sans nom);;;https://services3.arcgis.com/EmyeHZHvQA4wWHJo/arcgis/rest/services/Taille_moyenne_des_ménages_3_WFL1/FeatureServer/7
52;(sans nom);;;https://services3.arcgis.com/EmyeHZHvQA4wWHJo/arcgis/rest/services/Taille_moyenne_des_ménages_3_WFL1/FeatureServer/5
53;(sans nom);;;https://services3.arcgis.com/EmyeHZHvQA4wWHJo/arcgis/rest/services/Taille_moyenne_des_ménages_3_WFL1/FeatureServer/6
54;(sans nom);;;https://services3.arcgis.com/EmyeHZHvQA4wWHJo/arcgis/rest/services/Taux_de_ménage_résidant_dans_des_habitats_précaires_4_WFL1/FeatureServer/8
55;(sans nom);;;https://services3.arcgis.com/EmyeHZHvQA4wWHJo/arcgis/rest/services/Taux_de_ménage_résidant_dans_des_habitats_précaires_4_WFL1/FeatureServer/9
56;(sans nom);;;https://services3.arcgis.com/EmyeHZHvQA4wWHJo/arcgis/rest/services/Taux_de_ménage_résidant_dans_des_habitats_précaires_4_WFL1/FeatureServer/10
57;(sans nom);;;https://services3.arcgis.com/EmyeHZHvQA4wWHJo/arcgis/rest/services/Standing_de_logement_WFL1/FeatureServer/5
58;(sans nom);;;https://services3.arcgis.com/EmyeHZHvQA4wWHJo/arcgis/rest/services/Standing_de_logement_WFL1/FeatureServer/6
59;(sans nom);;;https://services3.arcgis.com/EmyeHZHvQA4wWHJo/arcgis/rest/services/Standing_de_logement_WFL1/FeatureServer/7
60;(sans nom);;;https://services3.arcgis.com/EmyeHZHvQA4wWHJo/arcgis/rest/services/Standing_de_logement_WFL1/FeatureServer/8
61;(sans nom);;;https://services3.arcgis.com/EmyeHZHvQA4wWHJo/arcgis/rest/services/Taux_de_ménages_utilisant_du_combustible_solide_pour_la_cuisson__charbon___bois__WFL1/FeatureServer/0
62;(sans nom);;;https://services3.arcgis.com/EmyeHZHvQA4wWHJo/arcgis/rest/services/Taux_de_ménages_utilisant_du_combustible_solide_pour_la_cuisson__charbon___bois__WFL1/FeatureServer/1
63;(sans nom);;;https://services3.arcgis.com/EmyeHZHvQA4wWHJo/arcgis/rest/services/Taux_de_ménages_utilisant_du_combustible_solide_pour_la_cuisson__charbon___bois__WFL1/FeatureServer/2
64;(sans nom);;;https://services3.arcgis.com/EmyeHZHvQA4wWHJo/arcgis/rest/services/Taux_de_ménages_approvisionnés_en_eau_potable_par_le_réseau_AEP____WFL1/FeatureServer/0
65;(sans nom);;;https://services3.arcgis.com/EmyeHZHvQA4wWHJo/arcgis/rest/services/Taux_de_ménages_approvisionnés_en_eau_potable_par_le_réseau_AEP____WFL1/FeatureServer/1
66;(sans nom);;;https://services3.arcgis.com/EmyeHZHvQA4wWHJo/arcgis/rest/services/Taux_de_ménages_approvisionnés_en_eau_potable_par_le_réseau_AEP____WFL1/FeatureServer/2
67;(sans nom);;;https://services3.arcgis.com/EmyeHZHvQA4wWHJo/arcgis/rest/services/Pourcentage_de_ménages_utilisant_une_source_d_eau_amélioré_____1_WFL1/FeatureServer/0
68;(sans nom);;;https://services3.arcgis.com/EmyeHZHvQA4wWHJo/arcgis/rest/services/Pourcentage_de_ménages_utilisant_une_source_d_eau_amélioré_____1_WFL1/FeatureServer/1
69;(sans nom);;;https://services3.arcgis.com/EmyeHZHvQA4wWHJo/arcgis/rest/services/Pourcentage_de_ménages_utilisant_une_source_d_eau_amélioré_____1_WFL1/FeatureServer/2
70;(sans nom);;;https://services3.arcgis.com/EmyeHZHvQA4wWHJo/arcgis/rest/services/Pourcentage_de_ménages_utilisant_le_réseau_d_électricité_pour_l_éclairage_WFL1/FeatureServer/0
71;(sans nom);;;https://services3.arcgis.com/EmyeHZHvQA4wWHJo/arcgis/rest/services/Pourcentage_de_ménages_utilisant_le_réseau_d_électricité_pour_l_éclairage_WFL1/FeatureServer/1
72;(sans nom);;;https://services3.arcgis.com/EmyeHZHvQA4wWHJo/arcgis/rest/services/Pourcentage_de_ménages_utilisant_le_réseau_d_électricité_pour_l_éclairage_WFL1/FeatureServer/2
73;(sans nom);;;https://services3.arcgis.com/EmyeHZHvQA4wWHJo/arcgis/rest/services/Pourcent_ménages_utilisant_de_toilette_améliorées_1_WFL1/FeatureServer/0
